001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"T194327","1765","Swift, Jonathan,",,,"1667-1745.","The works of Dr. Jonathan Swift,","Dean of St. Patrick's, Dublin. Volume XVI. Collected and Revised by Deane Swift, Esq. of Goodrich, in Herefordshire.",,"London :","printed for W. Johnston, in Ludgate-Street,","MDCCLXV. [1765]","[2],vii,[1],315,[1]p. ","12⁰."
"T194328","1765","Swift, Jonathan,",,,"1667-1745.","The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. Volume XVII. Collected and revised by Deane Swift, Esq; of Goodrich, in Hertfordshire. With and accurate and copious index to the whole seventeen volumes.",,,"London :","printed for W. Johnston,","1765.","vi,309,[1]p. ","12⁰."
"T194598","1711","Hodges, Moses,",,,"1663 or 4-1724.","Parents accountable for not educating their children.","A sermon preach'd at Banbury ... July 25th, 1711. At the yearly meeting of the contributors to the charity-school ... By Moses Hodges, ... ",,"London :","printed for George Thorp, in Banbury, and sold by John Churchill,","1711. ","23,[1]p. ","8⁰. "
"T194785","1757","Perronet, Edward,",,,"1721-1792.","The mitre.","A poem.",,"[London :","s.n.,","1757]","279,[1]p. ","8⁰."
"T195297","1776","Swift, Jonathan,",,,"1667-1745.","A supplement to Dr. Swift's works:","being a collection of miscellanies in prose and verse, by the Dean; Dr. Delany, Dr. Sheridan, and others, his intimate Friends. With explanatory notes, and an index, by the editor.",,"London :","printed for W. Bowyer and J. Nichols; and sold by N. Conant, successor to Mr. Whiston, in Fleet-Street,","MDCCLXXVI. [1776]-79.","2v. ","8⁰."
"T195741","1713","Crispe, Henry.",,,,"Colles lamentis, lamentis implet & urbes. An elegy","on the lamented death of ... Elizabeth late Marchioness of Carmarthen, ... By Mr. H. C. of the Custom-House. ",,"London :","printed for John Morphew,","1713. ","[2],6p. ","2⁰. "
"T196500","1761","Morant, Philip,",,,"1700-1770.","Proposals for printing by subscription The history and antiquities of Essex.","Compiled from the best and most ancient historians; ... The whole digested, improved, perfected, and brought down to the present time, by the Reverend Philip Morant, ...",,"[London,",,"1761]","1 sheet ","1/2⁰."
"T196538","1761","Atterbury, Francis,",,,"1662-1732.","Sermons and discourses on several subjects and occasions.","By Francis Atterbury, ...","The seventh edition.","London :","printed for L. Davis and C. Reymers; B. Dod; J. Rivington; W. Johnston; and M. Cooper,","1761.","4v.,plate ","8⁰."
"T197175","1758",,,,,"The ceremonial of the private interment of Her late Royal Highness Princess Caroline,","who was interr'd in the royal family vault ... in Westminster Abbey, on Thursday the fifth of January, 1758.",,"London :","printed by W. Bowyer; and sold by G. Woodfall,","1758.","[4]p. ","2⁰."
"T197409","1728","Voltaire,",,,"1694-1778.","La Henriade","de Mr. de Voltaire. ","Seconde édition revûe, corrigée, & augmentée de remarques critiques sur cet ouvrage.","Londres :","chez Woodman & Lyon,","1728. ","[8],xxiii,[1],287,[1]p. ","8⁰. "
"T198122","1713","Stanhope, George,",,,"1660-1728.","Good Mr. Bowyer, it is with very great concern, that I heard of the sad disaster befallen you.","You and your family have been in great part the subject not only of my waking, but even of my sleeping thoughts, from the moment the ill news reach'd me. ... ",,"[London? :","s.n.,","1713] ","1 sheet ","1/2⁰. "
"T198123","1713","Stanhope, George,",,,"1660-1728.","A letter from the Reverend Dr. Stanhope, Dean of Canterbury, to W. B. occasioned by his loss by fire, Jan. 30, 1712-13. ",,,"[London? :","s.n.,","1713] ","1 sheet ([1] p.) ","1/2⁰. "
"T198234","1724",,,,,"The folly of publick resentments for private disappointments:","or, the grounds of the discontent arising from the choice of a town-clerk consider'd: with the conduct of some pretended patriots of the City of London in the late choice of sheriffs, ...",,"[London :","printed for J. Roberts,","1724]","15,[1]p. ","4⁰."
"T198322","1745","Folkes, Martin,",,,"1690-1754.","A table of English silver coins from the Norman conquest to the present time.","... By Martin Folkes, Esq",,"London :","printed for the Society of Antiquaries,","1745.","161,[1]p.,42 plates ","2⁰."
"T198337","1764","Bowyer, William,",,,"1699-1777.","Copy of a letter not sent, but read to Mr. John Rivington,","on seeing Dr. Stanhope's book on the epistles and gospels advertised, on a supposition it was re-printed, March, 1764. ",,"[London :","s.n.,","1764] ","1 sheet ([1] p.) ","1/2⁰. "
"T199172","1722","Holinshed, Raphael,",,,"d. 1580?.","The castrations of the last edition of Holinshead's Chronicle","both in the Scotch and English parts, containing forty four sheets; printed with the old types and ligatures, and compared literatim by the original. ",,"London :","printed for William Mears, Fletcher Gyles, and James Woodman,","1722. ","[2],421-424,433-436,443-450,1328-1331,1419-1574p. ","2⁰. "
"T199443","1749",,,,,"The philosophical transactions and collections,","to the end of the year MDCC, abridged and disposed under general heads. ... By John Lowthorp, ...","The fifth edition, corrected, in which the Latin papers are now first translated into English.","London :","printed for W. Innys, R. Ware, J. and P. Knapton, S. Birt, E. Comyns [and 11 others in London],","1749.","3v. ","8⁰."
"T200309","1742","Swift, Jonathan,",,,"1667-1745.","Miscellanies. The ninth volume. By Dr. Swift. ",,"The second edition.","London :","printed for C. Davis; and C. Bathurst,","1742. ","[4],278p. ","8⁰. "
"T200632","1717",,,,,"Bibliotheca biblica.","Being a commentary upon all the books of the Old and New Testament. Gather'd out of the genuine writings of fathers and ecclesiastical historians, and acts of councils, ... To which are added, proemial or introductory discourses upon the authors and authentickness of the books, ... No. I. For the year 1717. ",,"London :","printed for H. Clements,","1717. ","pp.[2],568 ","4⁰. "
"T200694","1769","Lowth, Robert,",,,"1710-1787.","A short introduction to English grammar:","with critical notes.","A new edition, corrected.","London :","printed for J. Dodsley; and T. Cadell, successor to Mr. Millar,","1769.","160p. ","12⁰."
"T200826","1718","Baxter, William,",,,"1650-1723.","Glossarium antiquitatum Britannicarum,","sive syllabus etymologicus antiquitatum veteris Britanniæ atque Iberniæ temporibus Romanorum; ... Willielmus Baxter, ... Accedunt viri cl. D. Edvardi Luidii, ... de fluviorum, montium, urbium, &c. ...",,"Londini :","typis J. Watts,","1718.","[4]p. ","8⁰."
"T200853","1732","Thou, Jacques Auguste de,",,,"1553-1617.","La vie de M. de Thou,","extraite de ses propres memoires jusqu'en 1601, & continuée jusqu'à sa mort en 1617; avec des éclaircissemens nécessaires pour l'intelligence de sa grande histoire. Par D. Durand, ... ",,"Londres :","pour l'auteur & se trouve chez Jean Nourse,","1732. ","[8],345,[3]p.,plate ","8⁰. "
"T200930","1767",,,,,"The annual register,","or a view of the history, politicks, and literature of the year 1760.","The fourth edition.","London :","printed for J. Dodsley,","1767.","[4],260,271,[9]p. ","8⁰."
"T201005","1750","Edwards, Thomas,",,,"1699-1757.","The canons of criticism,","and glossary, being a supplement to Mr. Warburton's edition of Shakespear. Collected from the notes in that celebrated work, And proper to be bound up with it. By the other gentleman of Lincoln's Inn.","The third edition.","London :","printed for C. Bathurst, over-against St. Dunstan's Church in Fleetstreet,","MDCCL. [1750] ","[8],3-23,[3],180,[2]p. ","8⁰."
"T201210","1723","Holinshed, Raphael,",,,"d. 1580?.","The castrations of the last edition of Holinshed's Chronicle,","both in the Scotch and English parts, containing forty four sheets; printed with the old types and ligatures, and compared literatim by the original. ",,"London :","printed for William Mears, Fletcher Gyles, and James Woodman,","1723. ","[2],421-424,433-436,443-450,1328-1331,1419-1574p. ","2⁰. "
"T201384","1747","Harris, John,",,,"1667?-1719.","The description and use of the celestial and terrestrial globes,","and of Collins's pocket-quadrant. By John Harris, ...","The seventh edition.","London :","printed for Aaron Ward,","1747.","vi,62,[4]p. ","8⁰."
"T201443","1768","Morant, Philip,",,,"1700-1770.","The history and antiquities of the county of Essex.","Compiled from the best and most ancient historians; From Domesday-Book, Inquisitiones post mortem, and other the most valuable Records and Mss. &c. The whole digested, improved, perfected, and brought down to the present Time, by Philip Morant, M. A. Rector of St. Mary's Colchester, and of Aldham near the same; and Fellow of the Society of Antiquaries. In two volumes. ... . Illustrated with copper plates. ",,"London :","printed for T. Osborne, in Gray's-Inn; J. Whiston, in Fleet-Street; S. Baker, in York-Street; L. Davis and C. Reymers, in Holborn; and B. White, in Fleet-Street,","MDCCLXVIII. [1768] ","2v.,plates :","2⁰. "
"T201655","1719","Martin, David,",,,"1639-1721.","Examen de la reponse de Mr. Emlyn, à la dissertation critique sur le verset 7. du ch. 5. de la 1. Epistre de S. Jean; ... Par Mr. Martin, ... ",,,"Londres :","chez Guillaume & Jean Innys,","1719. ","[8],184p. ","12⁰. "
"T201661","1761","Chambaud, Lewis,",,,"d. 1776.","A dictionary French and English:","... by Lewis Chambaud. = Dictionnaîre françoîs angloîs, ... par Louis Chambaud.",,"London :","printed for A. Millar,","1761.","[2],xvi,[750]p. ","2⁰."
"T201957","1722","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences","which men ordinarily make for their not coming to the Holy Communion. To which is added, A Brief Account of the End and Design of the Holy Communion; the Obligation to receive it; the Way to prepare for it; and the Behaviour of our selves both at, and after it. Fitted for the Meanest Capacities, and very proper to be given away, by such as are charitably inclined. By a divine of the Church of England.","The eleventh edition corrected.","London :","printed for R. Sare, near Grays-Inn Gate in Holborn,","1722.","48p. ","12⁰."
"T202071","1748","White, John,",,,"ca. 1685-1755.","Three letters to a gentleman dissenting from the Church of England. By John White, ...",,,"London :","printed for C. Davis, and W. Craighton at Ipswich,","1748.","xxxii;[6],94;viii,84;[2],85,[1]p. ","8⁰."
"T202082","1753","Clayton, Robert,",,,"1695-1758.","A vindication of the histories of the Old and New Testament.","In answer to the objections of the late Lord Bolingbroke. In two letters to a young nobleman. By the Right Reverend Dr. Robert Clayton, Lord Bishop of Clogher.",,"[London] :","Dublin, printed, London, reprinted for W. Bowyer, and sold by M. Cooper, in Pater-Noster Row, and George Woodfall, at Charing-Cross,","MDCCLIII. [1753] ","[4],140p. ","8⁰."
"T202083","1753","Clayton, Robert,",,,"1695-1758.","A vindication of the histories of the Old and New Testament.","In answer to the objections of the late Lord Bolingbroke. In two letters to a young nobleman. By ... Dr. Robert Clayton, ...","The second edition.","[London] :","Dublin, printed, London, reprinted for W. Bowyer, and sold by M. Cooper, and George Woodfall,","1753.","[4],140p. ","8⁰."
"T202142","1759","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences,","which men ordinarily make for their not coming to the Holy Communion. To which is added, A brief account of the end and design of the Holy Communion, ... By ... Dr. Edward Synge, ...","The twenty-fourth edition, carefully corrected.","London :","printed for John Rivington,","1759.","48p. ","12⁰."
"T202642","1733","Swift, Jonathan,",,,"1667-1745.","Miscellanies the second volume. ",,"The second edition.","London :","printed for Benjamin Motte, at the Middle-Temple-Gate, Fleetstreet,","MDCCXXXIII. [1733] ","288p. ","12⁰. "
"T202719","1732","Gyles, Fletcher,",,,"d. 1741.","Librorum, in omnibus literaturæ partibus utilissimorum selecta collectio. A catalogue of the library of the Revd. Andrew Tooke, ... Which will begin to be sold very cheap, ... on Tuesday the 16th day of May 1732, at eight in the morning. By Fletcher Gyles, ... ",,,"[London,",,"1732] ","95,[1]p. ","8⁰. "
"T203697","1762","Synge, Edward,",,,"1659-1741.","An essay towards making the knowledge of religion easy to the meanest capacity.","Being a short and plain account of the doctrines and rules of Christianity. By the most Rev. Dr. Edward Synge, ...","The sixteenth edition, corrected.","London :","printed for John Rivington,","1762.","vi,28,[2]p. ","12⁰."
"T204615","1744","Boyer, Abel,",,,"1667-1729.","The compleat French master","for ladies and gentlemen. Containing I. A new methodical French grammar. II. A Well digested, and copious Vocabulary. III. Familiar Phrases and Dialogues on all manner of Subjects. IV. Dialogues of Wit and Humour. V. A Tast of the French Poetry. VI. A Collection of French Songs. Vii. A Collection of choice Proverbs, both French and English. Viii. A catalogue of the best French books, sit for a Lady's, or Gentleman's Library. For the use of His late Highness the Duke of Glocester. By Mr. A. Boyer, Author of the Royal Dictionary, French and English.","The fourteenth edition, carefully corrected, and much improved.","London :","printed for Samuel Ballard, at the Blue Ball in Little Britain,","MDCCXLIV. [1744] ","416p.ill.,music ","8⁰."
"T205644","1723","Wright, S.",,"(Samuel),","1683-1746.","A little treatise of being born again:","without which no man can be saved. Being the substance of four sermons ... To which is added, a discourse of the duty and advantage of singular piety. By S. Wright. ","The fifth edition.","London :","printed for Emanuel Matthews,","1723. ","x,[10],136p. ","12⁰. "
"T205650","1739",,,,,"A list of the Society of Antiquaries, London, according to the order of their admission. ",,,"[London] :","Printed in the year,","1739. ","1 sheet ","1⁰. "
"T205652","1755","Dawson, John,","A.B.",,,"Lexicon Novi Testamenti alphabeticum,","nunc primum plenè editum: omnes voces tam primitivas quàm derivativas, anomalas atque communes, in sacro textu occurrentes, cum earum resolutione grammaticâ, complectens. ... Studio et labore Joan. Dawson, A.B.","Editio secunda, cui accedunt voces plusquam septingentae.","Londini :","impensis Gul. Innys et J. Richardson,","1755.","[4],330,[2]p. ","8⁰."
"T205972","1755","White, John,",,,"ca. 1685-1755.","A new preservative against popery,","chiefly extracted from a larger treatise lately published, intituled, The protestant Englishman guarded against the arts and arguments of Romish priests and emissaries. ... By John White, ...",,"London :","printed for C. Davis,","1755.","76p. ","12⁰."
"T206270","1730","Dickinson, John,",,,"b. 1707 or 8.","Oratio in artem typographicam,","habita in sacello Coll. Div. Johannis Evang. in Academia Cantabrigiensi, ... A Johanne Dickinson, A.B. ",,"[Cambridge] :","Impressa anno,","1730. ","23,[1]p. ","8⁰. "
"T206430","1756","Armstrong, John,",,,"1709-1779.","The oeconomy of love.","A poetical essay.","A new edition.","London :","printed for M. Cooper,","1756.","[4],43,[1]p. ","8⁰."
"T206619","1739","Byrom, John,",,,"1692-1763.","Proposals for printing by subscription, A new method of short-hand, for general use. By John Byrom, ... ",,,"[London?,",,"1739] ","[8]p. ","4⁰. "
"T207261","1759","Ashburnham, William,","Sir,",,"1710-1797.","A sermon preached before the House of Lords,","in the abbey-church, of Westminster, on Tuesday, May 29, 1759. ... By William, Lord Bishop of Chichester.",,"London :","printed by W. Bowyer; and sold by R. Baldwin,","1759.","[4],20p. ","4⁰."
"T207369","1740","Robertson, Thomas,","gent.",,,"Thomas Robertson, gent. Appellant. The Right Hon. Henrietta Countess of Hoptoun, sister and administratrix of James Marquis of Annandale deceased, and Charles Earl of Hoptoun her husband, and the Most Hon. George Marquis of Annandale, heir at law of the said Marquis James, respondents. The appellant's case. ",,,"[London,",,"1740] ","3,[1]p. ","2⁰. "
"T207449","1742","Fleetwood, Henry,",,,"ca. 1667-1746.","Walter Chetwynd Esq. -- - appellant. Henry Fleetwood, Thomas Beckford, William Chetwynd, William Clayton Esqrs. Edward Lane, William Henry Chetwynd, an infant, and William Blacknell, and Barbara his wife, respondents. The case of the respondent Henry Fleetwood Esq. ",,,"[London,",,"1742] ","4p. ","2⁰. "
"T207454","1742","Beckford, Thomas.",,,,"Walter Chetwynd Esq; appellant. Henry Fleetwood, Thomas Beckford, William Chetwynd, William Clayton, Edward Lane, William Henry Chetwynd, Esquires, William Blacknell, Esq; and Barbara, his wife, respondents. The case of the respondent Beckford. ",,,"[London,",,"1742] ","3,[1]p. ","2⁰. "
"T207455","1742","Norfolk, Edward Howard,","Duke of,",,"1686-1777.","His Grace the Duke of Norfolk, Sir Robert Clifton, - - - Sir Robert Sutton, - - - - General Wade, - - - - Sir Alexander Murray, and others, appellants in the original appeal, and respondents in the cross appeal. The governor and Company of undertakers for raising Thames water in York-Buildings. Appellants in the cross appeal, and respondents in original [sic] appeal. The creditors of Sir Alexander and Mr. Charles Murrays [sic], respondents in the original and cross appeals. The case of the appellants in the original appeal, and respondents in the cross appeal.",,,"[London,",,"1742] ","3,[1]p. ","2⁰. "
"T207456","1742","Murray, Alexander,","Sir,",,"d. 1743.","His Grace the Duke of Norfolk, and others, lessees of Sir Alexander Murray's mines in the shires of Argyle and Peebles, appellants. Sir Alexander Murray bart. Charles Murray his brother, John Boswell, Sir Archibald Grant, and John Richardson, and the governor and Company of the undertakers for raising Thames water in York-buildings, respondents. And, the said governor and Company of undertakers for raising the Thames water in York-buildings, appellants. His Grace the Duke of Norfolk, and the said other lessees of Sir Alexander Murray's mines; and the said Sir Alexander Murray, Charles Murray, John Boswell, Sir Archibald Grant, and John Richardson, respondents. Case of Sir Alexander Murray, Charles Murray, John Boswell, Sir Archibald Grant, and John Richardson, and others, creditors of the said Sir Alexander Murray and Charles Murray; respondents in bot appeals. ",,,"[London,",,"1742] ","4p. ","2⁰. "
"T207564","1743","Cullen, William,",,,"1710-1790.","William Weir of Waygateshaw, Esq; appellant. William Cullen and Charles Hamilton, magistrates of the burgh of Hamilton for the year 1740, and John Sym and Arthur Naismith formerly magistrates and then counsellors of the said burgh for the said year 1740; and James Hamilton, William Allan, Thomas Muirhead, Adam Muir, John Burns, James Granger son to Robert Granger, John Bishop, James Bishop, John Muir, James Burn, Alexander Burns, William Paterson, James Granger son to the deceas'd John Granger and David Weir, respondents. The case of the respondents William Cullen, Charles Hamilton, John Sym, and Arthur Naismith only. ",,,"[London,",,"1743] ","4p. ","2⁰. "
"T207589","1743","Anderson, William,","of Linkwood.",,,"The Right Honourable William Earl of Sutherland -- appellant. William Anderson and others ---- ---- respondents. The case of the respondent William Anderson.",,,"[London,",,"1743]","4p. ","2⁰."
"T207785","1755","Annandale, Charlotte Johnston,","Marchioness of,",,"d. 1762.","Charlotta Marchioness Dowager of Annandale, the only child, surviving trustee and executrix of John vanden Bempde Esq. deceased, appellant. And the Most Honourable George vanden Bempde Marquis of Annandale, Ronald Crawfurd, clerk to the Signet, receiver of the rents of the estate of Annandale, and the tenants of the same estates [sic], respondents. The appellant's case.",,,"[London,",,"1755]","4p. ","2⁰."
"T208448","1728",,,,,"The true Church of England-man's companion in the closet:","or, a complete manual of private devotions fitted for most persons and cases. Collected from the writings of Archbishop Laud, Bishop Andrews, Bishop Kenn, Dr. Hickes, Mr. Kettlewell, Mr. Spinckes, ... With a preface by the Reverend Mr. Spinckes. ","The fifth edition corrected.","London :","printed for Charles Rivington,","1728. ","xlviii,362,[10]p.,plate :","12⁰. "
"T208603","1719","Smith, Roger,",,,"1675 or 6-1736.","The testimony of good conscience.","Set forth in a sermon preached at the parish church of Wield in the county of Essex, December 21, 1718. By Roger Smith, ... ",,"London :","printed for William and John Innys,","1719. ","[6],29,[1]p. ","12⁰. "
"T209571","1732",,,,,"The gentleman farrier.","Containing instructions for the choice, and directions in the management of horses, either for draught or pleasure, on a journey, or in the stable; with an account of their distempers, and receipts for the cure of them. To which is added an appendix, concerning dogs, either for the Field or the Lap, wherein their diseases are describ'd, and the means to cure them. The horse-receipts by his late Grace of Devonshire, Earl of Orrery, Lord Carleton, Sir John Packington, General Seymour, Portman Seymour, Esq; James Nicholson, Esq; - Thornton, Esq; of Bloxham, &c. Published by the direction of a person of quality.",,"London :","printed for F. Cogan, at the Middle-Temple Gate, and H. Lintot, at the Cross-Keys against St. Dunstan's Church, Fleet-Street,","MDCCXXXII. [1732]","[18],137,[13]p. ","12⁰."
"T209572","1732",,,,,"The gentleman farrier.","Containing instructions for the choice, and directions in the management of horses, ... To which is added an appendix, concerning dogs, ... Published by the direction of a person of quality,","the second edition.","London :","printed for F. Cogan, and H. Lintot,","1732.","[18],137,[13]p. ","12⁰."
"T209706","1730","Scott, John,",,,"1639-1695.","The christian life,","from its beginning to its consummation in glory. In four parts, compleat. Which contains the whole five volumes as printed in the octavo editions. Part I. Of the Practice of the Christian Virtues; and of the Use of the Instrumental Duties of Christianity. Part II. Wherein the Fundamental Principles of Christian Duty, and in particular the Doctrine of Our Saviour's Mediation, are Assign'd, Explain'd and Prov'd. Part III. Treating of the great Duties of Justice, Mercy and Mortification. Part IV. Wherein is shew'd, I. The Worth and Excellency of the Soul. II. The Divinity and Incarnation of our Saviour. III. The Authority of the Holy Scriptures. IV. The Obligation of the People to read the Scriptures. V. A Dissuasive from Apostacy. By John Scott, D. D. Late Rector of St. Giles in the Fields. With proper and useful indexes. ","The ninth edition.","London :","printed for James and John Knapton, John Darby, Arthur Bettesworth, Edmund Parker, Francis Fayram, John Pemberton, John Osborn and Thomas Longman, Charles Rivington, Benjamin Motte, Francis Clay, Jeremiah Batley, and Aaron Ward,","M.DCC.XXIX. [1729] [i.e. 1730] ","2v.([2],x,700,[12];[4],163,[1]p.),plate ","2⁰. "
"T210485","1757","Synge, Edward,",,,"1659-1741.","Thankfulness to Almighty God for his more antient and later mercies and deliverances vouchsafed to the British and Protestants within the Kingdom of Ireland,","recommended and press'd, in a sermon before the ... House of Commons, October 23d, 1711. ... By Edward Synge, ...","The fourth edition.","London :","printed for T. Trye,","1757.","34,[2]p. ","12⁰."
"T210898","1738","Synge, Edward,",,,"1659-1741.","The works","of the Most Reverend Dr. Edward Synge, Lord Archbishop of Tuam in Ireland. In three volumes. ... ",,"London :","printed for Thomas Trye,","1738. ","3v. ","12⁰. "
"T211126","1757","Synge, Edward,",,,"1659-1741.","Some rules for the conduct of human life:","... By the Most Reverend Dr. Edward Synge, ...","A new edition corrected.","London :","printed for T. Trye,","1757.","44,[4]p. ","12⁰."
"T212016","1733","Rowe, Nicholas,",,,"1674-1718.","The miscellaneous works of Nicholas Rowe, Esq; ",,"The third edition.","London :","printed: and sold by W. Feales,","1733. ","xvii,[3],100;36;[25],8-162p. ","12⁰. "
"T212385","1742",,,,,"A catalogue of books bound, in quires, and copies,","lately belonging to Mr. Fletcher Gyles, deceased. Which will be sold by auction to the booksellers of London and Westminster, ... on Tuesday the twenty second of this instant June, 1742. ... ",,"[London,",,"1742] ","4p. ","2⁰. "
"T212389","1742",,,,,"The entire stock, bound and in quires,","of Mr. John Hawkins, deceased, will be sold to the booksellers of London and Westminster, on Thursday June 24, 1742. ... ",,"[London,",,"1742] ","4p. ","2⁰. "
"T212784","1726","Hunter, Robert,",,,"1666-1734.","The case of Brigadeer Robert Hunter, in relation to the bill concerning the north level of the fens. ",,,"[London,",,"1726?] ","1 sheet ","1/2⁰. "
"T213019","1752",,,,,"A report from the committee appointed to inquire into the management and application of all such sums of money, as have been collected, ... by virtue of any act of Parliament, for reparing [sic] any particular highways. Published by order of the House of Commons.",,,"London :","printed for Thomas Cox, John Whiston, Charles Bathurst, and Thomas Trye,","1752.","11,[1]p. ","2⁰."
"T213152","1714","Mauger, Claude.",,,,"Claudius Mauger's French grammar,","with additions: enriched with new words, a new method, and all the improvements of the French tongue, that famous language, ... ","The twenty-second edition, corrected of the errors that had crept into the former editions.","London :","printed for R. Wellington, and sold by Tho. Guy,","1714. ","[8],432p. ","8⁰. "
"T213230","1750","White, John,",,,"ca. 1685-1755.","The Protestant Dissenter guided to the Church of England:","or, no sufficient reasons to renounce the communion of that church, ... in a letter to a dissenting parishioner. ... By the author of The three letters to a gentleman dissenting from the Church of England, and the defences of them.",,"London :","printed for C. Davis; and W. Creighton, at Ipswich,","1750.","106,[2]p. ","12⁰."
"T213291","1769",,,,,"The annual register,","or a view of the history, politicks, and literature for the year 1768.",,"London :","printed for J. Dodsley,","1768 [1769]","[4],56,57*-*84,57-285,[3];280p. ","8⁰."
"T213294","1770",,,,,"The annual register,","or a view of the history, politicks, and literature, for the year 1769.",,"London :","printed for J. Dodsley,","1770.","[6],64,*49-*73,[3],65-237,[3];288,[8]p. ","8⁰."
"T213305","1760",,,,,"The annual register,","or a view of the history, politicks, and literature, of the year 1759.","The second edition.","London :","printed for R. and J. Dodsley in Pall-Mall,","1760.","vii,[1],494,[8]p. ","8⁰."
"T213473","1765",,,,,"The annual register,","or a view of the history, politicks, and literature, for the year 1764.",,"London :","printed for J. Dodsley,","1765.","[4],192;284,[8]p. ","8⁰."
"T213708","1715","Wynne, John,",,,"1667-1743.","A sermon preached before the House of Lords, on the 29th day of May, 1715.","... By ... John Lord Bishop of St. Asaph. ",,"London :","printed for Henry Clements,","1715. ","30p. ","8⁰. "
"T214139","1710","Allix, Pierre,",,,"1641-1717.","Diatriba de anno & mense natali Jesu Christi.","... Authore Petro Allix, ... ",,"Londini :","impensis Davidis Mortier,","1710. ","[8],149,[3]p. ","8⁰. "
"T214551","1720","Saltoun of Abernethy, Alexander Fraser,","Lord,",,"1710-1751.","Alexander Lord Salton, appnt. Alexander Fraser an infant, eldest son to the appellant, and William Fraser Esq; guardian and trustee for the infant, respnts the respondents case. ",,,"[London,",,"1720] ","3,[1]p. ","2⁰. "
"T214560","1720","Cockburn, William,","Sir,",,"d. 1782.","Thomas Fairholm, of Pilton, appnt. Sir William Cockburn and Sir George Hamilton, baronets, respnts. The respondents case. ",,,"[London,",,"1720] ","3,[1]p. ","2⁰. "
"T214567","1719","Gordon, Robert,","Sir,",,"1696-1772.","Sir Robert Gordon of Gordonstoun, bart. appnt. James Brodie of Brodie, Esq; respnt. The appellant's case. ",,,"[London,",,"1719] ","2p. ","1/2⁰. "
"T214586","1720","Campbell, John,","of Cawdor.",,,"John Campble of Calder, Esq; appnt. Ruth Pollock, al' Campble, respnt. The appellant's case. ",,,"[London,",,"1720] ","3,[1]p. ","2⁰. "
"T214611","1720","Stirling, John,",,,"1704-1757.","Richard Grantham, Arthur Ingram, Esqs; and others commissioners and trustees of the forfeited estates, appnts. John Stirling, eldest son of James Stirling, late of Keir, an infant. Respnt. The respondent's case. ",,,"[London,",,"1720] ","3,[1]p. ","2⁰. "
"T214787","1746","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences,","which men ordinarily make for their not coming to the Holy Communion. To which is added, a brief account of the end and design of the Holy Communion, ... By ... Dr. Edward Synge, ...","The eighteenth edition carefully corrected.","London :","printed for Thomas Trye,","1746.","48p. ","12⁰."
"T214815","1757","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences,","which men ordinarily make for their not coming to the Holy Communion. To which is added, A brief account of the end and design of the Holy Communion, ... By ... Dr. Edward Synge, ...","The twenty third edition, carefully corrected.","London :","printed for Thomas Trye,","1757.","48p. ","12⁰."
"T216327","1771","Lyttelton, George Lyttelton,","Baron,",,"1709-1773.","Notes on the fourth and fifth books of The history of the life of King Henry the Second.","With an appendix to each. By George Lord Lyttelton.",,"London :","printed for J. Dodsley,","1771.","[2],376,39,[1]p. ","4⁰."
"T216461","1730",,,,,"A catalogue of books in quires, and copies and shares of copies:","being part of the stocks of the late Mr. Richard Sare, Mr. Henry Rhodes, Mr. Thomas Speed, &c. Which will be sold by auction to the booksellers of London and Westminster only, at the Queen's-Head Tavern in Pater-Noster-Row, on Monday the 21st of September, 1730. ... ",,"[London,",,"1730] ","4p. ","2⁰. "
"T216710","1732","Burroughs, William,",,,"fl. 1732.","A true and exact particular and inventory of all and singular the lands, tenements and hereditaments, goods, chattels, debts and personal estate whatsoever, of William Burroughs, Esq; late one of the Committee of the Charitable Corporation, which he was seized or possessed of, or intitled unto in his own right, and which any other person or persons was or were seized or possessed of or in Trust for him, or to or for his use or benefit, upon the first day of January, in the year of our Lord one thousand seven hundred and thirty, or at any time after, &c.",,,"London :","printed by [William Bowyer for] S. Buckley,","MDCCXXXII. [1732]","71 [i.e. 73], [1] p. ","2⁰."
"T217513","1778","Durand, David,",,,"1680-1763.","La vie de Jean Frederic Ostervald, pasteur de Neufchâtel en Suisse.","Par M. David Durand, ...",,"Londres :","chez T. Payne & fils,","1778.","[4],xiv,[2],307,[1]p. ","8⁰."
"T217922","1761","Synge, Edward,",,,"1659-1741.","An answer to all the excuses and pretences, which men ordinarily make for their not coming to the Holy Communion. ... By ... Edward Synge, ...",,"The twenty-fifth edition, carefully corrected.","London :","printed for John Rivington,","1761.","48p. ","12⁰."
"T218737","1751","Swift, Jonathan,",,,"1667-1745.","The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. ...",,,"London :","printed for C. Bathurst,","1751.","14v.,plates ","12⁰."
